,costToReach,items
The Castle in the Clouds in the Sky (Basement),0,"['heavy D (40)', 'original G (40)', 'giant gym membership card (0)', 'giant jar of protein powder (15)', 'pec oil (25)', 'Squat-Thrust Magazine (10)', 'Fitspiration&trade; poster (c0)', 'furry fur (35)', 'disturbing fanfic (25)', 'wolf mask (10)', 'giant penguin keychain (15)', ""O'RLY manual (15)"", 'open sauce (25)', 'giant neckbeard (c0)']"
Over Where the Old Tires Are,0,"['gremlin juice (3)', 'gremlin juice (3)', 'molybdenum crescent wrench (c0)', 'gremlin juice (3)', 'molybdenum crescent wrench (c0)', 'gremlin juice (3)', 'molybdenum crescent wrench (c0)', 'gremlin juice (3)', 'molybdenum pliers (c0)', 'gremlin juice (3)', 'molybdenum pliers (c0)']"
The Spooky Forest,0,"['bar skin (25)', 'baritone accordion (a0)', 'handful of tips (20)', 'unnamed cocktail (15)', 'unrequired jacket (0)', 'electric copperhead potion (c0)', ""bubblin' crude (100)"", ""bubblin' crude (30)"", 'bottle of Red-Out (c0)', 'perfect ice cube (30)', 'compounded experience (c100)', 'time residue (c100)', 'time residue (c100)', 'time residue (c100)', 'Rubee&trade; (n100)', 'Rubee&trade; (n100)', 'glass of herbal tequila (15)', 'shot of mescal (15)', 'whiskey in a broken glass (15)', 'damp bar rag (c0)', 'negative lump (0)', 'dried face (10)', 'spooky shrunken head (20)', 'ancient pills (0)', 'vampire heart (c100)', 'vampire collar (c4)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'intimidating coiffure (c0)', 'moxie weed (30)', 'spooky stick (30)', 'Talisman of Baio (100)', 'ghostly reins (c100)']"
The Smut Orc Logging Camp,0,"['orcish hand lotion (0)', 'orc wrist (0)', 'long hard screw (0)', 'messy butt joint (0)', 'morningwood plank (0)', 'raging hardwood plank (0)', 'thick caulk (0)', 'weirdwood plank (0)', 'orcish nailing lube (0)', 'orcish stud-finder', 'long hard screw (0)', 'messy butt joint (0)', 'morningwood plank (0)', 'raging hardwood plank (0)', 'thick caulk (0)', 'weirdwood plank (0)', 'orcish rubber (0)', 'freshwater pearl necklace (0)', 'long hard screw (0)', 'messy butt joint (0)', 'morningwood plank (0)', 'raging hardwood plank (0)', 'thick caulk (0)', 'weirdwood plank (0)', 'backwoods screwdriver (0)', 'screwing pooch (0)', 'long hard screw (0)', 'messy butt joint (0)', 'morningwood plank (0)', 'raging hardwood plank (0)', 'thick caulk (0)', 'weirdwood plank (0)', 'smut orc keepsake box (n100)', 'smut orc sunglasses (c0)', 'standards and practices guide (c100)', 'The Lacrosse Stick of Lacoronado (n100)']"
Fastest Adventurer Contest,0,['hustler shades (c0)']
Sonofa Beach,0,['barrel of gunpowder (n100)']
The Red Zeppelin,0,"['red box (15)', 'red button (0)', 'big red button (n1)', 'button rouge (c0)', 'red box (15)', 'glark cable (30)', 'red box (20)', 'red box (15)', 'red blood cells (25)', 'red eye (5)', 'Red Army camouflage kit (c0)', 'skeleton bone (0)', 'remaindered axe (0)', 'low-budget shield (0)', 'red box (30)', 'red foxglove (100)', 'Red Fox glove (1)', 'Copperhead Charm (rampant) (n100)']"
Summoning Chamber,0,"['Eye of Ed (100)', ""Lord Spookyraven's ear trumpet (100)""]"
Wartime Hippy Camp (Frat Disguise),0,"['round purple sunglasses (10)', 'reinforced beaded headband (10)', 'bullet-proof corduroys (10)', 'round purple sunglasses (5)', 'reinforced beaded headband (5)', 'bullet-proof corduroys (5)', 'peace accordion (a0)']"
"The Arid, Extra-Dry Desert",0,"['bit-o-cactus (27)', 'giant cactus quill (5)', 'cactus fruit (20)', 'handful of sand (20)', 'centipede eggs (20)', 'handful of sand (25)', 'handful of sand (15)', 'bronzed locust (20)', 'honey-dipped locust (20)', 'handful of sand (20)', 'handful of sand (25)', 'handful of sand (15)', 'scorpion whip (5)', 'ant agonist (20)', 'ant hoe (1)', 'ant pick (1)', 'ant pitchfork (1)', 'ant rake (1)', 'ant sickle (1)', 'handful of sand (20)']"
Whitey's Grove,0,"['white sword (15)', 'white satin pants (15)', 'white satin shield (8)', 'white page (5)', 'white chocolate chips (50)', ""mother's secret recipe (p3)"", 'White Chocolate Golem Seeds (c0)', 'catgut (15)', 'lion oil (25)', 'white snake skin (30)', 'bird rib (25)', 'white blood cells (0)', 'white wine (0)', 'white elephant gift (0)']"
The Bandit Crossroads,0,['Rubee&trade; (n100)']
The Batrat and Ratbat Burrow,0,"['bat wing (15)', 'bat guano (15)', 'batgut (15)', 'sonar-in-a-biscuit (15)', 'rat appendix (15)', 'ratgut (15)', 'ratarang (p5)', 'sonar-in-a-biscuit (15)', 'The Stankara Stone (0)']"
